id,loyalty,frequency,money,L,F,M,LFM
,0.642271071,5.273853016,458.625,,,,
,0.716623271,5.268902716,204.1666667,,,,
,0.890857259,5.266050838,906.8571429,,,,
,0.59581099,5.265219932,528.3846154,,,,
,1.046572475,5.264627531,220,,,,
,0.841829576,5.252538074,992.6666667,,,,
,0.392149174,5.25239288,453.5,,,,
,0.419664269,5.240056918,331.4285714,,,,
,0.561069273,5.237009044,506.1111111,,,,
,0.560531833,5.235239452,355.1,,,,
,0.432516598,5.233630081,974,,,,
,0.515655295,5.229318057,1306.7,,,,
,0.995619275,5.225238727,370.3333333,,,,
,0.843373494,5.215899138,284.2857143,,,,
,0,5.214210701,474,,,,
,0.258973429,5.213976756,405.3333333,,,,
,0.398533397,5.213347339,245,,,,
,0.657462196,5.212942592,364.5,,,,
,0.691489362,5.212369715,330.2307692,,,,
,0,5.203609569,613,,,,
,0,5.197796034,518.3333333,,,,
,0.70624794,5.18944667,544,,,,
,0.669254451,5.184268482,644.7777778,,,,
,0.477494111,5.183863645,393.6666667,,,,
,0.793147208,5.182702455,381,,,,
,0.765735872,5.182526666,316,,,,
,0.753420529,5.180205937,372.4,,,,
,1,5.178942333,313.7142857,,,,
,0,5.178862165,289.3333333,,,,
,1.008674602,5.172251052,365,,,,
,0.927668372,5.166323013,487.1428571,,,,
,0.472679145,5.161944053,662,,,,
,0.532367973,5.158172662,432.8333333,,,,
,0,5.154605519,320,,,,
,0.811221404,5.153530254,343.2727273,,,,
,0,5.148255654,344.5714286,,,,
,0.342383675,5.146737563,500,,,,
